vehicle_type,category,subcategory,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,safety_warning
Car,Lighting & Signals,Turn Signals,Turn signal blinking very fast,Blown turn signal bulb,low,yes,Screwdriver (or none),"Turn on your hazard lights and walk around the car to find which bulb is dead. Access the bulb from inside the trunk or under the hood to replace it.","If replacing the bulb doesn't fix the fast blinking, a mechanic needs to check the wiring.","Ensure the car is completely turned off before touching any electrical bulbs."
Car,Lighting & Signals,Brake Lights,Brake lights don't come on when pressing pedal,Faulty brake light switch or blown fuse,high,partially,Flashlight,"Check the fuse box for a blown brake light fuse. Visually inspect the brake bulbs in the back to see if they look burnt out.","If fuses and bulbs are fine, a mechanic must replace the brake switch under the pedal.","Do not drive without working brake lights as it is highly dangerous."
Car,Engine,Oil System,Low oil pressure warning light stays on,Low engine oil,high,yes,Paper towel,"Park on flat ground. Pull out the engine oil dipstick, wipe it clean, put it fully back in, and pull it out again. Check if the oil line is below the minimum mark.","If the oil is full but the light is still on, DO NOT DRIVE. Call a mechanic immediately.","The engine and oil can be extremely hot. Be careful not to burn yourself."
Car,Suspension,Shock Absorbers,Car bounces a lot over speed bumps,Worn shock absorbers,medium,no,None,"Push down hard on one corner of the car and let go. If the car bounces up and down more than twice, the shocks are likely worn.","A mechanic needs to hoist the car and replace the suspension struts safely.","Do not attempt to remove suspension parts yourself; they are under extreme spring pressure."
Car,Windows,Power Windows,Window stuck halfway down,Faulty window switch or motor,low,partially,None,"Try pressing the switch firmly while keeping the car door open. Check if the child window lock button is accidentally pressed down.","A mechanic needs to remove the interior door panel to replace the burned-out motor.","Keep fingers clear of the window track while testing the switch."
Car,Exhaust,Muffler,Very loud rumbling noise from under the car,Exhaust leak or broken muffler,high,no,Flashlight,"Look underneath the side of the car without crawling under it. Check for a hanging exhaust pipe or visible black soot near pipe joints.","A mechanic must weld the exhaust or replace the broken pipe section on a lift.","Exhaust pipes get incredibly hot. Never touch them or crawl under an unsupported vehicle."
Car,Heating & AC,Cabin Air Filter,Musty smell when AC is turned on,Dirty cabin air filter,low,yes,Screwdriver,"Open the glovebox. The cabin filter is usually right behind it. Pull out the old filter and see if it is clogged with leaves or dark dirt. Replace with a new one.","If replacing the filter doesn't remove the smell, a mechanic can sanitize the internal AC system.","Wear a mask if you have severe dust allergies when removing a dirty filter."
Car,Wipers,Wiper Blades,Streaks left on windshield in rain,Worn wiper blades,low,yes,None,"Lift the wiper arm and inspect the rubber edge. If it is cracked, torn, or feels hard like plastic, it needs replacing. Unclip the old one and slide a new one on.","If new blades still leave streaks, a mechanic may need to adjust the wiper arm spring tension.","Don't let a bare metal wiper arm snap back onto the glass; it can crack the windshield."
Car,Tyres,Wheel Alignment,Steering wheel vibrates at highway speeds,Unbalanced wheels,medium,no,None,"Visually check if the tyres have any large chunks of mud stuck to the rims. Check the tyre pressure with a gauge to ensure they are even.","A mechanic or tyre shop needs to put the wheels on a balancing machine.","Only pull over in safe locations away from traffic to check your wheels."
Bike,Engine,Spark Plug,Bike cranks but won't start,Fouled spark plug,medium,yes,Spark plug wrench,"Locate the spark plug on the side of the engine. Pull the thick wire off and check if the plug looks wet or covered in black soot. Clean it with a dry cloth.","If a cleaned or new spark plug doesn't work, a mechanic should check the ignition coil.","Ensure the engine is completely cool before touching the spark plug to avoid burns."
Bike,Drive Chain,Chain Tension,Clanking noise from rear wheel when rolling,Loose drive chain,medium,yes,Basic spanners,"Inspect the chain by pushing it up and down with your finger. If it moves up and down more than an inch, it needs tightening.","If the chain is rusted solid or has tight spots, have a mechanic replace the chain and sprockets.","Never put your fingers near the chain or sprockets while the wheel is spinning."
Bike,Brakes,Disc Brakes,Squeaking noise when braking,Worn brake pads or dirt,high,yes,Flashlight,"Look into the brake caliper to see the pad thickness. If the pads look very thin, they need replacing. If they look thick but dirty, wash the area with water.","A mechanic must replace the brake pads immediately if they are worn down to the metal backing.","Always test your brakes at a very slow walking speed after cleaning or inspecting them."
Bike,Tyres,Tyre Pressure,Bike feels heavy to steer,Low front tyre pressure,medium,yes,Tyre pressure gauge,"Check the front tyre with a pressure gauge. Inflate it to the recommended pressure printed on the side of the tyre or in your manual.","If the tyre loses air again within a day, a mechanic needs to check for a slow puncture.","Riding on a highly deflated front tyre can cause you to lose control of the bike."
Bike,Electrical,Headlight,Headlight is very dim,Weak battery or loose ground wire,medium,partially,Screwdriver,"Check if the battery terminals under the seat are screwed down tightly. Inspect the wiring behind the headlight bulb for loose connections.","If the wires are tight and bulb is good, a mechanic should test the bike's charging stator.","Do not look directly into the headlight while testing high beams."
Scooter,Tyres,Puncture,Scooter feels wobbly from the back,Flat rear tyre,high,yes,None,"Visually inspect the rear tyre for nails, screws, or flat spots. Do not pull a nail out if you find one, as it will lose air faster.","If punctured, a tyre shop or mechanic needs to plug the hole or replace the tyre.","Do not ride on a completely flat tyre as it will destroy the metal wheel rim."
Scooter,Electrical,Battery,Electric start makes clicking sound but horn is weak,Dead or weak battery,low,yes,Screwdriver,"Open the battery compartment (usually under the floorboard or seat). Check if the red and black wires are screwed on tightly and are free of white powder.","If the wires are clean and tight but it still won't start, a mechanic should test battery health.","Do not let a metal tool touch both the positive and negative battery terminals at the same time."
Scooter,Engine,Air Filter,Scooter struggles to accelerate,Clogged air filter,medium,yes,Screwdriver,"Locate the black plastic air filter box near the rear wheel. Unscrew the cover and check if the paper filter is choked with dust. Tap it clean or replace it.","If the filter is clean but acceleration is still poor, a mechanic needs to clean the carburetor or fuel injector.","Make sure the rubber seal is seated properly when closing the air filter box."
Scooter,Brakes,Drum Brakes,Brake lever touches the handlebar,Loose brake cable,high,yes,Basic spanners,"Locate the brake adjustment nut near the rear wheel. Turn it clockwise a few times by hand or with a spanner to tighten the brake lever feel.","If the nut is fully tightened but the brake is still weak, a mechanic must install new brake shoes.","Do not over-tighten the brake nut; the wheel should spin freely when the lever is released."
