category,subcategory,symptoms,step_number,diagnosis_step,possible_results,vehicle_type,fuel_type,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,estimated_cost_inr,urgency,safety_warning
ABS System,ABS Control Module,ABS warning light on | Brake pedal pulsation,1,Check ABS fuse,Blown | Intact,,,,,,,,,,,,
ABS System,ABS Control Module,ABS warning light on | Brake pedal pulsation,2,Inspect wiring to ABS module,Faulty wiring | Good wiring,,,,,,,,,,,,
ABS System,ABS Wheel Speed Sensor,ABS light stays on | Erratic speedometer,1,Inspect wheel speed sensor connections,Loose connections | Secure connections,,,,,,,,,,,,
ABS System,ABS Wheel Speed Sensor,ABS light stays on | Erratic speedometer,2,Check wheel speed sensor for debris or damage,Dirty/damaged | Clean/intact,,,,,,,,,,,,
ABS System,Brake Booster,Spongy brake pedal | Hard brake pedal,1,Check brake booster vacuum hose,Leaking | Intact,,,,,,,,,,,,
ABS System,Brake Booster,Spongy brake pedal | Hard brake pedal,2,Test brake booster vacuum pressure,Low vacuum pressure | Normal vacuum pressure,,,,,,,,,,,,
ABS System,Brake Caliper,Brake pulling to one side | Brake dragging,1,Inspect brake caliper for leaks,Leaking fluid | No leaks,,,,,,,,,,,,
ABS System,Brake Caliper,Brake pulling to one side | Brake dragging,2,Check brake caliper piston operation,Stuck piston | Free-moving piston,,,,,,,,,,,,
ABS System,Brake Hose,Brake fluid leak | Soft brake pedal,1,Inspect brake hose for cracks or leaks,Cracked/leaking hose | Intact hose,,,,,,,,,,,,
ABS System,Brake Hose,Brake fluid leak | Soft brake pedal,2,Pressure test brake hose,Failed pressure test | Passes pressure test,,,,,,,,,,,,
ABS System,Brake Master Cylinder,Spongy brake pedal | Brake fluid leaks,1,Check brake fluid level in master cylinder,Low fluid level | Normal fluid level,,,,,,,,,,,,
ABS System,Brake Master Cylinder,Spongy brake pedal | Brake fluid leaks,2,Inspect master cylinder for leaks or damage,Leaking/damaged | Intact,,,,,,,,,,,,
ABS System,Brake Pad,Squealing brakes | Brake pedal pulsation,1,Check brake pad thickness,Worn pads | Sufficient thickness pads,,,,,,,,,,,,
ABS System,Brake Pad,Squealing brakes | Brake pedal pulsation,2,Inspect brake pad condition,Worn/damaged pads | Good condition pads,,,,,,,,,,,,
ABS System,Brake Rotor,Brake pedal pulsation | Steering wheel vibration,1,Measure brake rotor thickness,Thin rotor | Sufficient thickness rotor,,,,,,,,,,,,
ABS System,Brake Rotor,Brake pedal pulsation | Steering wheel vibration,2,Inspect brake rotor for scoring or warping,Scored/warped rotor | Smooth rotor,,,,,,,,,,,,
ABS System,Brake Shoe & Drum,Spongy brake pedal | Brake dragging,1,Inspect brake shoes for wear,Worn shoes | Good condition shoes,,,,,,,,,,,,
ABS System,Brake Shoe & Drum,Spongy brake pedal | Brake dragging,2,Check brake drum for scoring or cracks,Scored/cracked drum | Smooth drum,,,,,,,,,,,,
Air Conditioning System,AC Compressor,No cold air from vents | Loud noise when AC is on,1,Check AC compressor clutch operation,Clutch not engaging | Clutch engages properly,,,,,,,,,,,,
Air Conditioning System,AC Compressor,No cold air from vents | Loud noise when AC is on,2,Inspect AC compressor for leaks or damage,Leaking/damaged compressor | Intact compressor,,,,,,,,,,,,
Air Conditioning System,AC Condenser,Warm air from AC vents | AC system not cooling,1,Inspect AC condenser for debris or blockage,Debris/blockage present | Clean/clear condenser,,,,,,,,,,,,
Air Conditioning System,AC Condenser,Warm air from AC vents | AC system not cooling,2,Check for leaks in AC condenser,Leaking condenser | No leaks,,,,,,,,,,,,
Air Conditioning System,AC Evaporator,Musty odor from vents | Weak airflow from vents,1,Inspect AC evaporator for mold or mildew buildup,Mold/mildew present | Clean evaporator,,,,,,,,,,,,
Air Conditioning System,AC Evaporator,Musty odor from vents | Weak airflow from vents,2,Check AC evaporator temperature sensor,Faulty sensor | Good sensor,,,,,,,,,,,,
Air Conditioning System,AC Recharge,Warm air from vents | Low AC system pressure,1,Check AC system pressure with gauge,Low pressure | Normal pressure,,,,,,,,,,,,
Air Conditioning System,AC Recharge,Warm air from vents | Low AC system pressure,2,Inspect for leaks in AC system,Leaking system | No leaks,,,,,,,,,,,,
Air Conditioning System,Air Conditioning Diagnosis,AC system not working | Unusual noise from AC system,1,Perform AC system diagnostic scan,Error codes present | No error codes,,,,,,,,,,,,
Air Conditioning System,Air Conditioning Diagnosis,AC system not working | Unusual noise from AC system,2,Check AC system components for proper operation,Component failure | Components working properly,,,,,,,,,,,,
Air Conditioning System,Cabin Air Filter,Musty odor from vents | Reduced airflow from vents,1,Inspect and replace cabin air filter,Dirty/clogged filter | Clean/new filter,,,,,,,,,,,,
Air Conditioning System,Cabin Air Filter,Musty odor from vents | Reduced airflow from vents,2,Check for debris in cabin air intake,Debris in intake | Clear intake,,,,,,,,,,,,
Air Conditioning System,Heater Blower Motor,No air from vents | Loud noise from HVAC system,1,Test blower motor operation,Motor not running | Motor running properly,,,,,,,,,,,,
